label,counter,user_id,user_name_len,full_name_len,intro_len,external_url,is_joined_recently,is_private,is_verified,is_business_account,highlight_reel_count,following_count,followed_count,post_count,avg_comment,avg_like,avg_post_len,avg_#,avg_@,var_comment,var_like,var_post_len,var_#,var_@
1,1235,-2147483648,13,5,95,1,0,0,1,1,1,2191,36159,46,25,548,65,0,0,374,41392,3048,0,0
1,1236,2027733186,9,6,96,1,0,0,0,0,7,787,1309135,835,490,78508,352,5,0,1361490,646017765,25671,11,0
1,1237,51222544,11,11,113,1,0,0,1,1,18,993,842182,1471,573,23878,212,0,0,526279,162295816,70011,0,0
1,1238,-2147483648,10,11,35,1,0,0,1,1,14,128,454820,1646,117,8360,74,0,1,24527,18017313,1095,0,1
1,1239,371116921,12,5,22,1,0,0,1,1,4,95,102805,2811,19,917,160,3,0,935,260138,4481,0,0
1,1240,-2147483648,14,18,126,1,0,0,0,0,9,3175,383039,2214,106,5347,881,0,3,3493,5652675,9714,9,1
1,1241,192224388,13,5,46,1,0,0,1,0,0,291,673802,3684,77,4543,59,0,0,3846,7132995,2402,0,0
1,1242,-2147483648,15,6,33,1,0,0,1,1,6,38,140315,713,32,1550,93,0,0,384,785757,10289,0,1
1,1243,43084131,11,0,47,1,0,0,1,1,7,143,893946,2009,109,7038,137,0,0,17889,16827555,18578,0,1
1,1244,1991757842,16,18,120,1,0,0,1,1,6,329,225967,1554,57,3023,108,0,0,4007,99441413,3020,0,0
1,1245,16145656,12,13,36,1,0,0,1,1,8,7483,1731445,2925,635,59421,67,0,0,784246,-2147483648,2375,0,0
1,1246,289499891,18,19,97,1,0,0,1,1,11,294,335655,2656,18,710,169,0,1,385,236399,1516,0,1
1,1247,240563593,11,11,96,1,0,0,1,1,8,827,976295,3049,251,10497,127,2,0,38831,26053900,8249,5,0
1,1248,196362639,12,15,51,1,0,0,1,1,5,242,270673,1542,100,5487,104,0,0,8157,7045639,10452,0,1
1,1249,1313608126,10,11,22,1,0,0,1,0,24,981,112342,815,66,3589,91,0,0,4107,3026383,5476,0,0
1,1250,237193987,19,21,51,1,0,0,1,1,3,628,229926,2516,19,1908,349,0,0,1351,40089842,46711,0,0
1,1251,-2147483648,14,15,34,1,0,0,0,1,2,807,233041,474,443,5327,369,0,0,619787,12107518,144478,8,0
1,1252,-2147483648,12,13,58,1,0,0,0,0,3,1360,270590,33,197,7436,210,1,0,102826,38409146,157411,11,0
1,1253,271702521,11,11,68,1,0,0,1,0,7,452,1651045,1458,805,67380,90,0,0,449868,1505136086,6204,0,0
1,1254,249188418,10,5,64,1,0,0,1,0,7,838,210479,1556,193,10242,88,0,0,25619,19769574,9691,0,1
1,1255,1767975805,9,10,0,0,0,0,1,0,0,784,103543,1,1448,20765,0,0,0,0,0,0,0,0
1,1256,615584964,13,24,25,1,0,0,1,0,12,450,134836,476,196,9314,74,0,0,23759,8404442,15399,0,0
1,1257,-2147483648,11,12,138,1,0,0,0,1,4,628,8907,38,113,1375,163,0,0,10091,212362,131201,0,0
1,1258,187664226,10,11,0,1,0,0,1,0,29,50,1753500,2735,479,45314,101,0,0,370689,1891018076,25006,0,1
1,1259,10304447,21,18,120,1,0,0,1,0,5,993,1837309,2401,896,74549,59,0,0,506054,877594951,10266,0,0
1,1260,-2147483648,13,13,102,1,0,0,0,1,2,595,465,26,4,98,315,16,0,28,5170,39664,216,0
1,1261,-2147483648,21,23,54,1,0,0,1,1,2,12,64250,11,368,14934,180,0,0,127309,106613155,65048,4,1
1,1262,145741718,8,14,52,1,0,0,1,1,7,934,12747,800,32,857,91,0,0,1031,127928,23897,0,0
1,1263,54043822,6,5,34,1,0,0,1,1,0,1027,60069,179,75,2076,98,0,1,3909,557788,4751,0,2
1,1264,-2147483648,9,10,60,1,0,0,1,1,7,198,286248,2092,41,1753,95,0,1,782,863786,695,0,0
1,1265,544616744,15,17,39,1,0,0,1,1,11,125,341113,1512,39,5150,129,1,0,32379,700799585,5222,0,1
1,1266,744183464,14,23,24,1,0,0,1,1,7,511,508344,3536,42,2794,132,0,2,1165,1663673,3742,0,3
1,1267,272022909,10,16,30,1,0,0,1,1,12,3857,1002166,8722,219,20104,91,0,0,92563,168393855,16264,0,6
1,1268,40328602,3,7,120,1,0,0,1,1,5,580,789376,4054,35,3176,172,0,0,4340,24876207,5198,1,3
1,1269,189802609,5,5,56,1,0,0,1,0,36,7497,5768711,6924,823,73683,113,0,0,731989,-2147483648,44976,0,1
1,1270,181395647,5,20,74,1,0,0,1,0,2,61,3245114,2989,1006,24238,144,0,1,35601242,270647819,12952,0,10
