user_id,user_name_len,full_name_len,intro_len,external_url,is_joined_recently,is_private,is_verified,is_business_account,highlight_reel_count,following_count,followed_count,post_count,avg_comment,avg_like,avg_post_len,avg_#,avg_@,var_comment,var_like,var_post_len,var_#,var_@,label
44245496083,15,11,54,0,0,1,0,0,0,549,112,3,0,0,0,0,0,0,0,0,0,0,0
46272826225,9,6,9,0,0,1,0,0,0,96,43,4,0,0,0,0,0,0,0,0,0,0,0
45769483119,10,8,27,0,0,1,0,0,0,72,12,3,0,0,0,0,0,0,0,0,0,0,0
45987219313,9,6,54,0,0,1,0,0,0,63,13,5,0,0,0,0,0,0,0,0,0,0,0
39441390232,9,3,59,0,0,0,0,0,0,571,24,4,0,0.25,15.75,0,0,0,0.25,265.5833333,0,0,0
45727571962,12,13,13,0,0,1,0,0,0,90,53,5,0,0,0,0,0,0,0,0,0,0,0
45928400121,10,7,3,0,0,1,0,0,0,88,53,4,0,0,0,0,0,0,0,0,0,0,0
45741084593,15,9,38,0,0,1,0,0,0,80,45,4,0,0,0,0,0,0,0,0,0,0,0
39428711004,9,9,20,0,0,0,0,0,0,448,15,4,0,0.25,42.75,0,0,0,0.25,22.91666667,0,0,0
46090181781,10,8,97,0,0,1,0,0,0,72,15,5,0,0,0,0,0,0,0,0,0,0,0
43646529815,12,8,31,0,0,1,0,0,0,499,96,5,0,0,0,0,0,0,0,0,0,0,0
39634198862,19,8,2,0,0,0,0,0,0,571,11,5,0,2.6,3.2,0,0,0,0.3,51.2,0,0,0
46089547821,16,11,22,0,0,1,0,0,0,87,51,4,0,0,0,0,0,0,0,0,0,0,0
43985860771,19,10,17,0,0,1,0,0,0,529,107,4,0,0,0,0,0,0,0,0,0,0,0
42508841775,9,8,43,0,0,1,0,0,0,597,71,4,0,0,0,0,0,0,0,0,0,0,0
42555092381,19,15,62,0,0,1,0,0,0,575,73,5,0,0,0,0,0,0,0,0,0,0,0
46131738453,15,11,10,0,0,1,0,0,0,61,11,5,0,0,0,0,0,0,0,0,0,0,0
39364015124,15,12,18,0,0,0,0,0,0,489,15,5,0,0.8,61,0,0,0,1.7,1373.5,0,0,0
44486163231,10,1,134,0,0,1,0,0,0,351,90,4,0,0,0,0,0,0,0,0,0,0,0
39032158456,9,2,27,0,0,0,0,0,0,515,20,4,0,1.25,26,0,0,0,1.583333333,780.6666667,0,0,0
45767316898,11,9,48,0,0,1,0,0,0,72,6,5,0,0,0,0,0,0,0,0,0,0,0
45555196869,10,14,27,0,0,1,0,0,0,89,38,4,0,0,0,0,0,0,0,0,0,0,0
44995911749,17,9,124,0,0,1,0,0,0,236,14,4,0,0,0,0,0,0,0,0,0,0,0
44523024194,9,9,60,0,0,1,0,0,0,355,17,5,0,0,0,0,0,0,0,0,0,0,0
44831543729,7,11,32,0,0,1,0,0,0,236,4,1,0,0,0,0,0,0,0,0,0,0,0
38969709556,11,2,25,0,0,0,0,0,0,519,28,4,0,0.5,48,0,0,0,0.333333333,1566,0,0,0
39437237717,13,10,43,0,0,0,0,0,0,477,18,4,0,0.25,36,0,0,0,0.25,1676.666667,0,0,0
45219354229,10,6,109,0,0,1,0,0,0,234,14,3,0,0,0,0,0,0,0,0,0,0,0
46084474638,9,3,6,0,0,1,0,0,0,91,44,4,0,0,0,0,0,0,0,0,0,0,0
40973880678,16,9,7,0,0,1,0,0,0,501,70,4,0,0,0,0,0,0,0,0,0,0,0
43752951226,7,2,37,0,0,1,0,0,0,505,103,4,0,0,0,0,0,0,0,0,0,0,0
44308748812,12,11,40,0,0,1,0,0,0,320,78,4,0,0,0,0,0,0,0,0,0,0,0
44118286958,9,11,2,0,0,1,0,0,0,348,93,4,0,0,0,0,0,0,0,0,0,0,0
44683576737,9,3,16,0,0,1,0,0,0,361,63,4,0,0,0,0,0,0,0,0,0,0,0
44509857767,15,13,42,0,0,1,0,0,0,323,98,5,0,0,0,0,0,0,0,0,0,0,0
41737011247,9,12,32,0,0,1,0,0,0,287,76,3,0,0,0,0,0,0,0,0,0,0,0
39850577368,7,10,64,0,0,0,0,0,0,538,28,4,0.25,1.75,1.75,0,0,0.25,0.916666667,4.25,0,0,0
39629658992,10,9,48,0,0,0,0,0,0,562,27,4,0,1.25,2.75,0,0,0,1.583333333,30.25,0,0,0
46184128046,16,10,53,0,0,1,0,0,0,60,15,5,0,0,0,0,0,0,0,0,0,0,0
40975200111,12,3,9,0,0,1,0,0,0,507,63,4,0,0,0,0,0,0,0,0,0,0,0
39426135222,12,13,27,0,0,0,0,0,0,531,17,5,0,1.2,0,0,0,0,2.7,0,0,0,0
46018216470,9,9,15,0,0,1,0,0,0,63,18,5,0,0,0,0,0,0,0,0,0,0,0
41701265960,10,2,18,0,0,1,0,0,0,578,68,5,0,0,0,0,0,0,0,0,0,0,0
42135320189,12,8,23,0,0,1,0,0,0,272,87,4,0,0,0,0,0,0,0,0,0,0,0
46020192097,9,8,73,0,0,1,0,0,0,73,8,4,0,0,0,0,0,0,0,0,0,0,0
46142749512,9,1,69,0,0,1,0,0,0,73,12,5,0,0,0,0,0,0,0,0,0,0,0
38963127104,11,8,24,0,0,0,0,0,0,536,27,6,0,1.666666667,36.66666667,0,0,0,0.266666667,5029.866667,0,0,0
42287447957,14,11,79,0,0,1,0,0,0,554,85,5,0,0,0,0,0,0,0,0,0,0,0
45744227196,12,14,27,0,0,1,0,0,0,88,55,5,0,0,0,0,0,0,0,0,0,0,0
39044762918,9,7,24,0,0,0,0,0,0,508,24,5,0,1.8,13.4,0,0,0,0.7,110.3,0,0,0
38805875881,9,1,41,0,0,1,0,0,0,534,24,4,0,0,0,0,0,0,0,0,0,0,0
39193459511,10,3,105,0,0,0,0,0,0,517,28,4,0,1,35.75,0,0,0,0.666666667,3084.25,0,0,0
39258986451,10,9,84,0,0,0,0,0,0,518,29,4,0.25,2,2.75,0,0,0.25,2.666666667,30.25,0,0,0
